stopId,stopNumber,stopName
2552,2262,"Kilchberg ZH, Schooren"
2553,1175,"Zürich, Hertensteinstrasse"
2554,515,"Rüschlikon, Bodengasse"
2556,516,"Küsnacht ZH, Boglerenstrasse"
2557,6625,"Rüschlikon, Merisbrunnen"
2558,3186,"Rüschlikon, Bahnhof"
2559,3187,"Rüschlikon, Säumerstrasse"
2561,3445,"Zürich, Bircher-Benner"
2562,3449,"Zürich, Birchstrasse"
2563,1528,"Zürich, Lehenstrasse"
2564,3705,"Zürich, Albisriederdörfli"
2565,1354,"Zürich, Jugendherberge"
2566,3706,"Zürich, Althoos"
2567,2618,"Zürich, Susenbergstrasse"
2568,1356,"Zürich, Kalchbühlweg"
2569,1182,"Küsnacht ZH, Hesligenstrasse"
2570,1358,"Zürich, Kanonengasse"
2571,1359,"Zürich, Kantonsschule"
2572,2447,"Zürich, Hardturm"
2573,1611,"Zürich, Maienweg"
2575,2449,"Zürich, Sportweg"
2576,1614,"Zürich, Manesseplatz"
2577,1189,"Küsnacht ZH, Himmelistrasse"
2578,1615,"Zürich, Marbachweg"
2579,1441,"Zürich, Pflegezentr. Käferberg"
2580,2707,"Zürich, Tüffenwies"
2581,1445,"Zürich, Krematorium Nordheim"
2582,1446,"Zürich, Krematorium Sihlfeld"
2583,610,"Küsnacht ZH, Bühlstrasse"
2584,3450,"Zürich, Chaletweg"
2585,2363,"Zollikon, Seestrasse"
2586,3451,"Zürich, Mötteliweg"
2587,2364,"Zürich, Segantinistrasse"
2588,1277,"Zollikon, Höhestrasse"
2589,3453,"Zürich, Technopark"
2590,615,"Zürich, Bürkliplatz"
2591,2366,"Zürich, Seidelhof"
2592,443,"Rüschlikon, Belvoir"
2593,3457,"Zürich, Lerchenrain"
2594,1532,"Zürich, Leimgrübelstrasse"
2595,3458,"Zürich, Schauenberg"
2598,2450,"Zürich, Sprecherstrasse"
2599,3714,"Zürich, Binz Center"
2600,2451,"Zürich, Spyriplatz"
2601,3715,"Zürich, Bocklerstrasse"
2603,1539,"Zürich, Lerchenhalde"
2604,3717,"Zürich, Chinagarten"
2605,530,"Zürich, Brandschenkestrasse"
2606,1194,"Zürich, Hinterbergstrasse"
2607,1626,"Zürich, Meierhofplatz"
2608,2289,"Zürich, Schumacherweg"
2609,3804,"Zürich, Neunbrunnen"
2610,1280,"Zürich, Hönggerberg"
2612,1456,"Zürich, Kreuzstrasse"
2613,6648,"Zürich, Würzgraben"
2614,2800,"Zürich, Waidfussweg"
2615,1286,"Zürich, Höschgasse"
2617,2801,"Zürich, Waidhof"
2618,1288,"Zürich, Hügelstrasse"
2619,2803,"Zürich, Waidspital"
2620,3466,"Zürich, Freiestrasse"
2621,3469,"Zürich, Hofstrasse"
2622,1547,"Zürich, Lettenstrasse"
2624,711,"Zürich, Dreiwiesen"
2625,2461,"Zürich, Stadtgrenze"
2626,1549,"Zürich, Letzipark West"
2627,2638,"Zürich, Talwiesenstrasse"
2628,715,"Zollikon, Dufourplatz"
2629,1379,"Zürich, Kempfhofsteig"
2630,718,"Zürich, Toni-Areal"
2631,544,"Fällanden, Bruggacher"
2632,546,"Zürich, Brunau/Mutschellenstr."
2633,2722,"Zürich, Uetlihof"
2634,2298,"Zürich, Schwandenholz"
2635,800,"Zürich, Eschergutweg"
2636,1292,"Zürich, Hürstholz"
2637,3470,"Zürich, Hölderlinsteig"
2638,3645,"Zürich, Botanischer Garten"
2639,3648,"Zürich, Klosbach"
2640,2385,"Zürich, Siemens"
2641,1724,"Zürich, Neumarkt"
2642,462,"Küsnacht ZH, Bergstrasse"
2643,3477,"Zürich, Schweizer Rück"
2645,467,"Zürich, Bernoulli-Häuser"
2646,468,"Zürich, Bertastrasse"
2647,1641,"Zürich, Michelstrasse"
2648,3566,"Zürich, Schützenhaus Höngg"
2649,1818,"Küsnacht ZH, Oberwacht"
2650,1644,"Zürich, Militär-/Langstrasse"
2651,2907,"Zürich, Wildbachstrasse"
2654,1478,"Dübendorf, Kämmaten"
2655,470,"Zürich, Besenrainstrasse"
2656,471,"Zürich, Bethanien"
2657,2396,"Zürich, Sihlstrasse"
2658,2398,"Zürich, Sihlweidstrasse"
2659,476,"Zollikon, Beugi"
2660,902,"Zürich, Friesenberg"
2662,904,"Zürich, Friesenbergstrasse"
2663,3744,"Küsnacht ZH, Zentrum"
2665,2659,"Zürich, Thujastrasse"
2666,735,"Zürich, ETH Hönggerberg"
2667,1483,"Zürich, Käshaldenstrasse"
2669,824,"Zollikon, Felbenstrasse"
2670,1488,"Küsnacht ZH, Bahnhof"
2671,2831,"Zürich, Wartau"
2672,1744,"Zürich, Nordheimstrasse"
2673,1745,"Zürich, Nordstrasse"
2674,2834,"Zürich, Seerose"
2675,6009,"Rüschlikon, Rebsteig"
2676,2838,"Dübendorf, Wasserfurren"
2677,489,"Zürich, Grubenstrasse"
2678,916,"Zürich, Frymannstrasse"
2680,917,"Zürich, Fröhlichstrasse"
2681,6599,"Aesch bei Maur, Zollingerheim"
2682,573,"Zürich, Buhnstrasse"
2683,3587,"Zürich, Berufswahlschule"
2684,3588,"Zürich, Vulkanstrasse"
2687,2754,"Zürich, Untermoosstrasse"
2689,832,"Zürich, Feldeggstrasse"
2693,1753,"Zürich, Nürenbergstrasse"
2694,3001,"Zürich, Orionstrasse"
2695,6015,"Zürich, Winzerstrasse Süd"
2696,3003,"Zollikon, Bahnhof"
2698,2671,"Zürich, Tobelhof"
2699,3005,"Zürich, Zoo"
2700,6019,"Zürich, Waffenplatz-/Bederstr."
2701,2673,"Zürich, Toblerplatz"
2702,498,"Zürich, Birchdörfli"
2705,927,"Zürich, Förrlibuckstrasse"
2707,3768,"Zürich, Staudenbühl"
2709,3594,"Zürich, EPI-Klinik"
2710,2934,"Zürich, Winzerhalde"
2711,2935,"Zürich, Winzerstrasse"
2712,2937,"Zürich, Wipkingerplatz"
2713,840,"Zürich, Fellenbergstrasse"
2714,2596,"Zürich, Strassenverkehrsamt"
2715,1006,"Gockhausen, Dorf"
2716,6020,"Zürich, Glaubtenstrasse Süd"
2718,1007,"Zürich, Goldackerweg"
2720,2852,"Rüschlikon, Weidstrasse"
2721,3011,"Zürich, Zweiackerstrasse"
2722,1272,"Zürich, Höfliweg"
2723,1273,"Dübendorf, Högler"
2729,1590,"Zürich, Luegisland"
2730,1592,"Zürich, Luggwegstrasse"
2731,3015,"Zürich, Zwielplatz"
2732,1769,"Küsnacht ZH, Obere Heslibachst"
2733,933,"Küsnacht ZH, Gartenstrasse"
2734,2858,"Zürich, Weihersteig"
2735,4,"Zürich, Zoo/Forrenweid"
2737,2859,"Kilchberg ZH, Weinbergstrasse"
2738,3018,"Zürich, Zwinglihaus"
2740,7,"Zürich, Aargauerstrasse"
2741,9,"Rüschlikon, Alsenstrasse"
2742,769,"Zürich, Elektrowatt"
2743,6117,"Zürich, Stierenried"
2744,594,"Zürich, Bärenbohlstrasse"
2745,2776,"Zürich, Verenastrasse"
2746,1011,"Küsnacht ZH, Goldbacherstrasse"
2747,1013,"Zollikon, Goldhaldenplatz"
2748,2779,"Zürich, Vogelsangstrasse"
2749,2104,"Zürich, Rosengartenstrasse"
2750,857,"Zürich, Fischerweg"
